title,link,bbox,zone,updated
NUALHD_1-0__LAZ_LAMB93_FG_2024-12-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FG_2024-12-20,-1.21799141 47.62252142 -0.51741799 48.09399561,FG,2025-10-14T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FH_2025-06-13,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FH_2025-06-13,-1.18244904 47.17304755 -0.48801021 47.64445567,FH,2025-07-14T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FI_2025-01-24,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FI_2025-01-24,-1.14750011 46.73772677 -0.45908978 47.19480299,FI,2025-10-03T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FJ_2025-01-23,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FJ_2025-01-23,-0.74330496 46.28545979 -0.43064468 46.74506574,FJ,2025-10-11T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FK_2025-02-04,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FK_2025-02-04,-1.57120502 45.38385561 -0.08481188 46.37871958,FK,2025-08-02T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FN_2025-07-29,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FN_2025-07-29,-0.98115805 44.47536743 -0.32139077 44.94582768,FN,2025-10-28T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FO_2025-09-15,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FO_2025-09-15,-0.94947671 44.02587105 -0.29515553 44.49608301,FO,2025-10-29T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FP_2025-08-07,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FP_2025-08-07,-0.91829521 43.57648006 -0.26933114 44.04641857,FP,2025-10-29T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FQ_2025-09-15,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FQ_2025-09-15,-0.88760182 43.12722092 -0.24390803 43.59686103,FQ,2025-11-04T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FR_2025-03-21,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FR_2025-03-21,-0.85738518 42.77682012 -0.22435078 43.14743667,FR,2025-06-06T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GD_2025-01-08,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GD_2025-01-08,-0.6344693 48.99262357 0.07407438 49.36440138,GD,2025-07-26T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GE_2026-03-06,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GE_2026-03-06,-0.60869152 48.56136712 0.09818124 49.01122187,GE,2026-03-27T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GF_2025-07-23,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GF_2025-07-23,-0.57897315 48.09399572 0.12385305 48.57981931,GF,2025-09-17T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GG_2024-12-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GG_2024-12-20,-0.54732536 47.64445579 0.14811292 48.11229109,GG,2025-07-28T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GH_2024-12-23,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GH_2024-12-23,-0.51741783 47.1948031 0.17196713 47.66260179,GH,2025-10-15T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GI_2025-02-18,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GI_2025-02-18,-0.48801005 46.74506585 0.19542576 47.21280111,GI,2025-10-02T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GJ_2025-01-27,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GJ_2025-01-27,-0.45908962 46.29527202 0.21849858 46.76291721,GJ,2025-10-06T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GL_2026-01-14,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GL_2026-01-14,-0.42338272 45.39940043 0.26352419 45.86301138,GL,2026-03-06T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GM_2025-05-13,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GM_2025-05-13,-0.37513427 44.9458277 0.28549509 45.41304481,GM,2025-09-19T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GN_2024-12-13,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GN_2024-12-13,-0.34804698 44.49608312 0.307116 44.9631055,GN,2025-07-27T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GO_2025-09-22,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GO_2025-09-22,-0.32139074 44.04641868 0.32839523 44.51322055,GO,2025-11-03T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GP_2025-03-28,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GP_2025-03-28,-0.29515538 43.59686105 0.34934116 44.06341712,GP,2025-06-07T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GQ_2025-04-11,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GQ_2025-04-11,-0.269331 43.14743669 0.36996121 43.61372159,GQ,2025-06-23T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GR_2025-04-03,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GR_2025-04-03,-0.24390801 42.66710198 0.39066587 43.1641605,GR,2025-06-28T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HC_2025-10-29,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HC_2025-10-29,0.05768953 49.44377342 0.73848352 49.87942337,HC,2025-11-17T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HD_2025-09-26,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HD_2025-09-26,0.05367728 49.01122198 0.75727816 49.45727152,HD,2025-10-12T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HE_2025-07-31,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HE_2025-07-31,0.0740744 48.56184075 0.77652679 49.02593398,HE,2025-09-17T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HF_2024-12-16,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HF_2024-12-16,0.09917725 48.1122912 0.79544766 48.57643223,HF,2025-10-27T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HG_2024-12-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HG_2024-12-20,0.12385321 47.6626019 0.81404943 48.12676338,HG,2025-07-27T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HH_2025-06-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HH_2025-06-20,0.14811307 47.21280123 0.83234011 47.67695599,HH,2025-07-09T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HI_2024-12-02,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HI_2024-12-02,0.17196729 46.76291733 0.85032707 47.22703811,HI,2025-10-18T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HJ_2024-12-02,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HJ_2024-12-02,0.19542592 46.31297817 0.86801817 46.77703818,HJ,2025-10-16T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HK_2025-01-10,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HK_2025-01-10,0.21849873 45.86301149 0.88542053 46.32698402,HK,2025-10-17T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HL_2025-05-27,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HL_2025-05-27,0.24119517 45.41304484 0.90254117 45.87690337,HL,2025-09-18T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HM_2025-06-26,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HM_2025-06-26,0.26352434 44.96310552 0.91938699 45.42682384,HM,2025-07-26T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HN_2025-06-11,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HN_2025-06-11,0.28549511 44.51322066 0.9359643 44.97677256,HN,2025-09-08T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HO_2025-02-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HO_2025-02-20,0.30711603 44.06341714 0.95227961 44.52677669,HO,2025-06-07T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HP_2025-04-08,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HP_2025-04-08,0.32839538 43.61372161 0.96833894 44.07686303,HP,2025-06-08T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HQ_2025-03-25,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HQ_2025-03-25,0.34934118 43.16416052 0.98414863 43.62705848,HQ,2025-06-06T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_HR_2025-04-18,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_HR_2025-04-18,0.36996123 42.68447682 0.99785895 43.17738921,HR,2025-06-15T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_IC_2024-12-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_IC_2024-12-20,0.71984769 49.47523974 1.5803181 50.08798462,IC,2025-07-26T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_ID_2024-12-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_ID_2024-12-20,0.73769373 49.025934 1.44081811 49.48615157,ID,2025-07-26T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_IE_2024-12-04,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_IE_2024-12-04,0.75727832 48.57643234 1.45420383 49.05189708,IE,2025-10-18T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_IF_2025-07-28,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_IF_2025-07-28,0.77652682 48.1267635 1.46736157 48.58716619,IF,2025-10-24T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_IG_2025-01-23,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_IG_2025-01-23,0.79544782 47.67695601 1.4802971 48.13740947,IG,2025-10-10T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_IH_2024-12-03,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_IH_2024-12-03,0.81404958 47.22703823 1.49301626 47.68751502,IH,2025-10-05T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_II_2024-12-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_II_2024-12-20,0.83234014 46.77703829 1.50552431 47.23751107,II,2025-10-18T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_IJ_2025-01-24,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_IJ_2025-01-24,0.85032722 46.32698413 1.51782646 46.78742575,IJ,2025-10-04T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_IL_2025-08-06,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_IL_2025-08-06,0.88542068 45.42682386 1.54183318 45.88712256,IL,2025-08-23T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_IM_2025-02-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_IM_2025-02-20,0.90254132 44.97677258 1.55354723 45.43695982,IM,2025-06-06T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_IN_2025-03-14,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_IN_2025-03-14,0.91938701 44.52677671 1.56507446 44.98682606,IN,2025-06-07T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_IO_2025-04-02,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_IO_2025-04-02,0.93596433 44.07686314 1.57641968 44.53674861,IO,2025-06-07T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_IP_2025-04-10,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_IP_2025-04-10,0.95227963 43.62705851 1.58758669 44.08675398,IP,2025-06-17T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_IQ_2024-12-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_IQ_2024-12-20,0.96833908 43.17738923 1.59858012 43.63686916,IQ,2025-06-06T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_IR_2025-03-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_IR_2025-03-20,0.98414865 42.60016811 1.61219043 43.18712029,IR,2025-06-23T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JA_2025-08-13,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JA_2025-08-13,1.53883878 50.38598105 2.10123969 51.01943223,JA,2025-10-27T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JB_2025-07-07,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JB_2025-07-07,1.40829011 49.93737478 2.10916095 50.3913451,JB,2025-08-26T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JC_2024-12-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JC_2024-12-20,1.41333947 49.48615168 2.11694379 49.94236856,JC,2025-10-11T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JD_2024-12-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JD_2024-12-20,1.42719886 49.03675648 2.12459183 49.4931395,JD,2025-08-01T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JE_2025-06-05,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JE_2025-06-05,1.44081827 48.58716621 2.13210854 49.043687,JE,2025-09-14T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JG_2024-12-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JG_2024-12-20,1.46736159 47.68751513 2.14676125 48.14422721,JG,2025-10-20T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JH_2024-12-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JH_2024-12-20,1.48029726 47.23751118 2.15390363 47.69427696,JH,2025-10-18T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JI_2024-12-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JI_2024-12-20,1.49301642 46.78742586 2.16092743 47.24421782,JI,2025-10-18T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JJ_2025-01-17,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JJ_2025-01-17,1.50552447 46.33728709 2.16783545 46.79407781,JJ,2025-10-14T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JL_2025-06-30,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JL_2025-06-30,1.5299279 45.43695984 2.18131617 45.89366663,JL,2025-07-15T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JM_2025-05-14,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JM_2025-05-14,1.5418332 44.98682617 2.187894 45.44345066,JM,2025-06-28T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JN_2025-05-16,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JN_2025-05-16,1.55354725 44.53674863 2.19436698 44.99326421,JN,2025-06-28T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JO_2025-03-25,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JO_2025-03-25,1.56507461 44.08675409 2.20073758 44.54313436,JO,2025-06-20T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JP_2025-04-09,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JP_2025-04-09,1.57641971 43.63686918 2.20700823 44.09308796,JP,2025-06-15T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JQ_2025-03-14,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JQ_2025-03-14,1.58758683 43.18712031 2.21318138 43.64315172,JQ,2025-06-14T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JR_2025-04-11,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JR_2025-04-11,1.59858014 42.73753366 2.21925905 43.19335187,JR,2025-06-12T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_JS_2025-03-26,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_JS_2025-03-26,1.60940367 42.34626316 2.22364031 42.74371468,JS,2025-06-14T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_KA_2025-07-22,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_KA_2025-07-22,2.08991047 50.39134521 2.80338798 51.09370999,KA,2025-08-20T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_KB_2025-08-06,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_KB_2025-08-06,2.10123986 49.94236867 2.80512111 50.39445856,KB,2025-10-28T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_KC_2025-06-03,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_KC_2025-06-03,2.10916111 49.49313961 2.80682381 49.94545642,KC,2025-09-10T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_KD_2025-06-24,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_KD_2025-06-24,2.11694395 49.04368711 2.80849688 49.4962019,KD,2025-07-18T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_KE_2025-06-06,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_KE_2025-06-06,2.12459199 48.59404008 2.81014149 49.04672438,KE,2025-09-11T14:59:00+01:00
