x,y,z
849498.9166666666,6351643.103333334,105.51333333333334
849496.2883333334,6351634.57,105.31833333333334
849495.6025,6351630.17,105.365
849499.4483333336,6351627.013333333,105.19500000000001
849494.5,6351635.045,105.33000000000001
849500.9366666666,6351631.248888889,105.29444444444444
849491.1133333333,6351626.405,105.32999999999998
849509.7833333333,6351624.723333333,105.35666666666667
849508.3266666667,6351622.457777778,105.36666666666667
849503.7792307693,6351621.316923077,105.26846153846154
849520.6,6351624.460000001,105.36000000000003
849499.5200000001,6351620.011000001,105.25699999999999
849516.2255555555,6351623.2055555545,105.44333333333333
849524.4033333333,6351623.466666668,105.37
849506.0306666668,6351618.492666667,105.24466666666667
849501.8366666668,6351617.366666667,105.33666666666666
849515.8816666667,6351620.701666668,105.38666666666667
849533.4033333333,6351623.841666666,105.41333333333334
849523.2779999999,6351621.394,105.434
849538.8816666667,6351624.830555555,105.51555555555557
849505.5416666666,6351616.323333333,105.22833333333335
849530.2949999999,6351622.114999999,105.49833333333333
849502.4030769231,6351614.713076924,105.2476923076923
849516.2453333333,6351618.392666667,105.326
849533.2066666667,6351621.423333333,105.48333333333335
849532.3934782611,6351619.466086955,105.4286956521739
849540.8253846155,6351622.027692307,105.50076923076925
849548.8088888888,6351622.422222223,105.60222222222222
849554.7728571428,6351623.492857142,105.61428571428573
849520.8716666667,6351615.141666667,105.27
849533.0837500001,6351617.006250001,105.375
849523.3300000001,6351614.483333333,105.36000000000001
849544.5883333334,6351618.939166666,105.56333333333335
849538.7000000001,6351617.891428572,105.60285714285715
849504.63,6351609.56,105.14
849561.2809523809,6351622.037619047,105.6604761904762
849549.77,6351620.095454545,105.49272727272728
849519.1283333334,6351613.199166666,105.35333333333334
849521.9266666668,6351612.476666667,105.38666666666667
849552.92875,6351619.366875,105.65625
849557.5100000001,6351620.547499999,105.60874999999999
849542.855,6351616.885,105.36000000000001
849534.7533333333,6351614.168333334,105.39833333333335
849510.6466666666,6351608.103333334,105.22833333333331
849545.55,6351616.422500001,105.48625
849501.3600000001,6351605.648571429,105.17571428571429
849539.0287499999,6351613.31,105.52375
849509.1699999999,6351606.112000001,105.30199999999999
849548.7625000001,6351615.63,105.5675
849534.1663636364,6351612.043636364,105.41636363636363
849556.0949999999,6351616.220625,105.55562500000002
849532.3816666666,6351609.991111111,105.38499999999999
849520.8566666666,6351608.153333333,105.25999999999999
849546.65125,6351613.76625,105.47874999999999
849551.59,6351615.03,105.23
849538.1600000001,6351611.134000001,105.602
849513.86,6351605.09,105.26500000000001
849516.2637500002,6351604.5275,105.20750000000001
849531.1599999999,6351607.9399999995,105.43000000000002
849556.5525000001,6351613.8525,105.5625
849541.5175,6351610.38125,105.32875000000001
849547.66875,6351611.373749999,105.475
849514.5800000001,6351602.483333333,105.24000000000001
849535.4780000001,6351607.032000001,105.375
849500.116,6351598.91,105.144
849560.8424999999,6351612.827500001,105.65125
849546.416,6351609.2020000005,105.44800000000001
849541.47,6351608.1325,105.6425
849527.2845454544,6351604.384545455,105.44090909090909
849553.4737499999,6351609.975000001,105.56458333333332
849525.9227777778,6351602.431111113,105.3888888888889
849520.5970000001,6351601.252,105.28900000000002
849546.3016666668,6351606.906666667,105.495
849507.1166666666,6351597.426666667,105.18666666666667
849552.1966666668,6351607.865555556,105.43111111111111
849513.8025,6351598.1975,105.2425
849556.317,6351606.977999999,105.53800000000001
849549.94,6351606.1275,105.48624999999998
849521.79625,6351598.760000001,105.32249999999999
849553.0992857143,6351605.423571427,105.46714285714286
849533.4210000001,6351600.617999999,105.351
849514.87,6351595.550000001,105.395
849549.2359999999,6351603.88,105.44000000000001
849560.392,6351606.165999999,105.63399999999999
849511.5399999999,6351594.140000001,105.20750000000001
849552.0777777779,6351603.2422222225,105.42555555555556
849506.5712499999,6351592.887500001,105.19624999999999
849556.8899999999,6351604.587142858,105.45285714285716
849537.6866666666,6351599.783333334,105.53666666666668
849549.3533333334,6351624.796666667,105.62666666666667
849514.645,6351593.357777778,105.3288888888889
849540.1488888889,6351599.1033333335,105.45777777777778
849510.9511111113,6351591.81,105.25444444444445
849551.4100000001,6351601.1680000005,105.356
849542.015,6351598.675,105.535
849531.98,6351596.3325,105.24000000000001
849518.495,6351592.5975,105.36874999999999
849560.5466666667,6351619.856666666,105.69666666666667
849538.3740000001,6351597.257999999,105.422
849559.4230434783,6351601.487391305,105.60347826086957
849524.9571428571,6351593.392857143,105.3742857142857
849554.3866666667,6351600.546666667,105.54333333333334
849544.5480000001,6351598.062000001,105.526
849534.8045454547,6351595.626363636,105.34181818181818
849530.1175,6351594.555000001,105.275
849509.5100000001,6351589.876666666,105.13166666666667
849515.0528571429,6351590.8685714295,105.28142857142858
849507.2275,6351588.0825000005,105.26875000000001
849557.1525000001,6351599.865,105.60249999999999
849518.1100000001,6351590.147777778,105.35555555555555
849562.505,6351617.155,105.655
849553.5338461538,6351598.1976923095,105.43307692307695
849537.7899999999,6351595.022222223,105.38444444444444
849513.4575,6351588.9475,105.17
849548.5976923077,6351597.163846155,105.54461538461538
849531.3459999999,6351624.278,105.22600000000003
849505.2020000002,6351586.298,105.2
849525.4538888889,6351625.518888889,105.42000000000002
849524.3157142858,6351591.1185714295,105.3007142857143
849546.881111111,6351595.182222222,105.43666666666665
849537.7200000001,6351592.782500001,105.4975
849531.8614285715,6351591.712857142,105.36857142857143
849518.3829411765,6351587.82117647,105.37058823529412
849523.8914285714,6351588.867857143,105.36500000000001
849536.4020000001,6351620.694,105.41400000000002
849509.4511111111,6351585.25,105.24666666666667
849551.7731249998,6351594.10625,105.45625
849522.3600000001,6351586.9575000005,105.41250000000001
849542.8019999999,6351591.582,105.31000000000002
849512.7883333332,6351584.455000001,105.33666666666666
849529.134,6351587.640000001,105.41
849508.6985714287,6351583.145714285,105.12428571428572
849511.9859999999,6351624.11,105.292
849555.5284615385,6351593.253846154,105.43846153846152
849540.2024999999,6351589.92,105.3725
849525.2533333334,6351586.2299999995,105.27
849520.6000000001,6351585.0,105.16
849516.8784615386,6351583.586153846,105.25846153846153
849547.8111764707,6351592.607058826,105.51823529411764
849547.0218181818,6351590.430000001,105.43636363636365
849527.5557142858,6351585.667142858,105.43785714285715
849523.3537499998,6351584.344999999,105.22999999999999
849562.168,6351610.118000001,105.622
849514.565,6351581.898333333,105.30166666666666
849536.385,6351616.1025,105.36000000000001
849535.7261538462,6351586.053076923,105.3723076923077
849540.5694736842,6351587.360526316,105.4342105263158
849511.0983333333,6351580.253333334,105.29
849527.02,6351583.616666667,105.37166666666666
849546.1139999998,6351588.444,105.38400000000001
849503.9780000001,6351577.223999999,105.16000000000001
849544.595,6351611.790000001,105.58500000000001
849550.5,6351587.446,105.44666666666667
849522.0299999999,6351580.05388889,105.31
849505.9966666667,6351577.03,105.35000000000001
849540.4460000001,6351584.88,105.44000000000001
849511.675,6351577.758750001,105.21000000000001
849501.8050000002,6351575.492500001,105.3425
849560.294,6351589.85,105.42
849555.14,6351588.7700000005,105.50857142857144
849545.048888889,6351586.3688888885,105.39666666666669
849538.16,6351583.3125,105.49166666666666
849518.1933333334,6351578.62,105.29333333333334
849544.45,6351584.285,105.4
849516.4900000001,6351616.153333333,105.23666666666666
849525.41,6351613.960000001,105.31
849530.27,6351612.803333334,105.19333333333333
849510.8825000001,6351617.272500001,105.185
849557.844255319,6351585.746382979,105.53127659574469
849550.9800000001,6351585.014285714,105.49142857142859
849510.8999999999,6351575.6450000005,105.365
849540.8966666666,6351582.526666666,105.46666666666665
849503.5180000002,6351572.638,105.21600000000001
849547.9171428571,6351583.502857143,105.47285714285714
849519.7841666667,6351575.835,105.25083333333335
849544.0385714285,6351581.859999999,105.44000000000001
849533.2228571429,6351579.770714286,105.4407142857143
849540.5081249999,6351580.329999998,105.515625
849502.0127272728,6351570.932727274,105.22000000000001
849516.0300000001,6351613.836666666,105.18666666666667
849551.3975,6351582.732500001,105.42
849518.3633333333,6351573.955000001,105.25666666666666
849556.5780000001,6351583.512,105.35799999999999
849546.6966666667,6351581.3,105.32000000000001
849538.2973333332,6351578.628666666,105.42666666666666
849508.7620000001,6351571.4553333325,105.19933333333331
849555.735,6351602.300000001,105.64000000000001
849511.21,6351612.706666667,105.22000000000001
849533.042,6351575.218,105.398
849547.9671428573,6351578.802857143,105.46285714285715
849503.6299999999,6351568.165,105.095
849515.9728571428,6351569.912857142,105.45857142857143
849500.1220000001,6351566.588,105.31199999999998
849524.8300000001,6351572.455454546,105.43181818181819
849521.4028571428,6351571.05,105.44142857142857
849506.6033333334,6351567.568333334,105.27833333333335
849512.65,6351568.55,105.02
849508.4099999999,6351567.176000001,105.332
849536.648,6351602.096000001,105.31200000000001
849559.175,6351594.8100000005,105.42750000000001
849529.8116666666,6351599.1450000005,105.39999999999999
849556.775,6351590.755,105.42500000000001
849559.525,6351587.800000001,105.5275
849521.7075000001,6351596.585000001,105.37
849511.3775000001,6351596.401250001,105.1525
849501.0275,6351596.39,105.1425
849532.46,6351584.470000001,105.30000000000001
849512.7220000001,6351586.7639999995,105.174
849538.41,6351576.513333333,105.32333333333334
849532.3700000001,6351577.613333334,105.3
849528.3987499999,6351578.59375,105.35375
849515.8620000001,6351579.354,105.304
849503.5575000001,6351582.132499999,105.215
849513.515,6351574.9,105.255
849505.6266666666,6351574.585,105.185
849516.4245454547,6351571.91090909,105.28818181818183
849500.7985714285,6351573.291428571,105.22714285714287
849563.32625,6351623.8675,105.74499999999999
849567.7925000001,6351622.875,105.7075
849570.5020000001,6351622.179999999,105.73533333333333
849585.1781818181,6351623.448181817,105.75727272727272
849564.7900000002,6351618.800000001,105.73333333333333
849575.1383333333,6351621.090000001,105.65166666666666
849591.4133333332,6351624.253333333,105.79333333333334
849573.694,6351619.092666668,105.67399999999999
849577.6620000001,6351620.13,105.874
849590.1349999998,6351622.300833333,105.78958333333334
849565.3125,6351616.467499999,105.64500000000001
849585.0049999999,6351621.176000001,105.89000000000001
849572.2933333333,6351617.169999999,105.56333333333333
849568.2175,6351615.84375,105.46375
849564.0492307692,6351614.4399999995,105.61076923076924
849579.1761538461,6351617.813846155,105.6576923076923
849580.254,6351624.527000001,105.799
849595.23,6351621.039999999,105.80666666666666
849592.6090909092,6351619.430909092,105.74454545454546
849579.6742857143,6351615.628571429,105.65714285714286
849565.2205,6351611.85,105.63600000000001
849590.049375,6351617.661874999,105.689375
849587.9133333334,6351620.54,105.70333333333333
849572.8000000002,6351623.960000001,105.63666666666667
849577.0525,6351622.905,105.80812499999999
849576.3000000002,6351613.912307695,105.70384615384614
849568.9477777779,6351624.897777778,105.72222222222221
849572.9035294119,6351612.395294118,105.59823529411766
849596.1575,6351616.2075000005,105.555
849587.7433333335,6351613.585,105.69166666666666
849573.8011111111,6351609.860555556,105.68611111111112
849592.9540000001,6351614.682,105.71799999999999
849583.9029999999,6351612.208,105.62899999999999
849568.39,6351608.71,105.62
849579.7685714287,6351610.701428571,105.62142857142858
849587.8975,6351611.4425,105.65
849567.2278260869,6351604.453913045,105.54652173913043
849581.8975,6351614.9325,105.775
849592.83,6351612.435714285,105.72714285714285
849584.8166666668,6351609.740000001,105.66666666666667
849581.7816666664,6351608.090833332,105.59749999999998
849570.73,6351605.885,105.6375
849569.25,6351617.723333333,105.6577777777778
849590.322,6351610.756,105.674
849577.8555555557,6351606.583333334,105.68888888888891
849587.86,6351609.0,105.61250000000001
849593.6533333333,6351610.048333333,105.69500000000001
849586.1236363635,6351606.966363638,105.6418181818182
849575.3466666667,6351604.823333333,105.60666666666668
849571.64,6351615.11,105.5
849581.1000000001,6351605.67,105.765
849577.6966666667,6351604.176666667,105.72333333333334
849570.4529411765,6351601.3294117665,105.49823529411765
849593.1466666666,6351607.785000001,105.78500000000001
849579.5599999999,6351603.79,105.72
849585.3200000001,6351604.995,105.5
849566.8957142858,6351599.885714286,105.51142857142857
849576.7289999999,6351602.251,105.624
849587.52,6351604.461666667,105.66666666666667
849565.48,6351598.026666667,105.57888888888891
849584.1875,6351602.675,105.675
849589.286,6351606.192000001,105.73400000000001
849578.4519999999,6351608.71,105.80199999999999
849583.2918181819,6351600.823636364,105.76090909090908
849577.6225,6351599.775,105.64500000000001
849580.3422222224,6351599.165555555,105.69777777777779
849565.6120000001,6351595.597999999,105.61200000000001
849570.5985714284,6351596.7700000005,105.63428571428572
849573.145,6351607.715,105.69
849590.3053846153,6351601.3438461535,105.67153846153846
849586.561,6351600.058,105.727
849589.315,6351599.356666666,105.77666666666669
849581.4875,6351603.4925,105.8075
849581.3019999999,6351596.664,105.676
849576.0225000001,6351595.41,105.515
849567.5699999998,6351606.57,105.55166666666668
849591.375,6351598.84,105.53
849586.070769231,6351597.886923076,105.6623076923077
849565.2866666666,6351591.017777778,105.54777777777777
849590.24,6351596.64625,105.76125
849571.4499999998,6351591.800000001,105.58833333333332
849564.328,6351588.99,105.556
849590.4666666667,6351594.556666668,105.76333333333335
849576.5900000001,6351590.712,105.596
849573.3733333334,6351589.143333334,105.57166666666667
849564.5875,6351586.540000001,105.49000000000001
849563.74,6351600.54,105.385
849571.4900000001,6351598.636666667,105.63666666666666
849568.488888889,6351585.6588888895,105.74555555555554
849586.1025,6351593.2225,105.525
849572.4883333333,6351587.010000001,105.60166666666665
849567.8166666668,6351588.011666667,105.50999999999999
849563.55,6351584.4,105.4
849527.4,6351661.71,105.955
849521.4087500001,6351658.79,105.61625000000001
849525.6566666667,6351657.873333334,105.61666666666667
849501.15,6351652.016666667,105.37666666666667
849522.4488888889,6351656.318888889,105.71555555555555
849531.5671428571,6351656.624285715,105.75
849561.4425,6351663.642500001,106.215
849535.542,6351655.559,105.737
849527.56875,6351652.7212499995,105.62375000000002
849532.5094999999,6351651.7225,105.65500000000002
849556.3049999999,6351657.765000001,105.92000000000002
849529.16,6351650.091666668,105.63499999999999
849501.9428571428,6351642.511428571,105.44142857142857
849532.745263158,6351649.2852631565,105.73368421052635
849562.36,6351656.434,105.958
849528.0233333333,6351648.196666666,105.55000000000001
849523.4380000001,6351646.768000001,105.478
849542.4735,6351649.5430000005,105.72500000000002
849531.2019999999,6351647.464000002,105.64000000000001
849521.5711111112,6351644.867777777,105.58444444444446
849511.1162500001,6351642.7325,105.52000000000001
849506.7399999999,6351641.465,105.40500000000002
849537.1025,6351648.415,105.65
849528.1812499999,6351645.771249999,105.64250000000001
849502.9899999999,6351640.053333334,105.37666666666667
849539.8850000001,6351647.680000001,105.66166666666668
849500.9714285715,6351638.164285714,105.38000000000001
849535.9233333333,6351646.419999999,105.68
849526.5900000001,6351643.6899999995,105.51199999999999
849516.8300000001,6351641.49,105.58
849552.6916666668,6351649.281666667,105.705
849536.2582142856,6351644.012857144,105.61321428571428
849543.3614285717,6351646.932857143,105.70857142857143
849538.7377777777,6351645.681111111,105.61111111111111
849559.8011111112,6351650.041111111,105.77444444444444
849551.9609090909,6351647.312727273,105.8381818181818
849531.1150000001,6351642.52875,105.525
849502.5900000001,6351635.3425,105.3475
849508.405,6351636.5175,105.3475
849544.2250000001,6351644.485,105.545
849540.8400000001,6351642.9644444445,105.65666666666668
849547.35,6351667.3275,106.23250000000002
849560.43625,6351647.614999999,105.91
849546.72125,6351643.94125,105.71374999999999
849540.2976470587,6351640.735882353,105.62529411764706
849524.5058333335,6351637.264166667,105.485
849533.792,6351639.767999999,105.51100000000001
849505.1342857144,6351632.657142856,105.41285714285713
849557.871875,6351645.951874999,105.83125
849550.5140000001,6351642.908000001,105.724
849521.746521739,6351635.581304348,105.5082608695652
849564.2173076919,6351644.4384615375,105.78961538461539
849530.0000000002,6351636.155555556,105.50888888888888
849558.79625,6351643.406874999,105.80874999999999
849554.3699999999,6351642.002,105.67066666666666
849542.2022727273,6351637.962272728,105.58772727272726
849536.3966666668,6351637.016666667,105.49666666666667
849527.7869999999,6351634.223,105.47
849522.4971428572,6351633.218571429,105.59857142857143
849530.9,6351665.908,105.99000000000001
849539.067,6351636.389,105.651
849525.9169999998,6351632.458,105.55600000000001
849560.84,6351640.486666667,105.68666666666667
849556.525,6351638.98,105.59
849533.192,6351633.059,105.53799999999998
849522.6675,6351630.7425,105.465
849518.0883333333,6351629.736666667,105.43333333333334
849548.51,6351636.504,105.506
849542.7925,6351635.49,105.6575
849515.1177777777,6351627.9399999995,105.34777777777778
849544.6133333334,6351635.173333333,105.51333333333334
849540.4373684212,6351633.784736844,105.61526315789476
849560.53,6351638.314,105.752
849528.0266666666,6351629.691111112,105.48666666666666
849547.27,6351634.456666667,105.63
849554.4,6351635.1975,105.685
849526.9379999998,6351627.632,105.426
849559.065,6351636.4,105.695
849549.83,6351634.055,105.525
849548.6072222223,6351631.920555558,105.60944444444445
849543.3219999999,6351630.767000001,105.55199999999999
849537.6457142857,6351629.782857143,105.58
849534.2375,6351658.340000001,105.845
849529.6000000001,6351659.24,105.85000000000001
849559.4,6351633.996,105.68799999999999
849536.47,6351627.691000001,105.497
849530.75,6351626.61,105.41499999999999
849549.7961538463,6351629.393846154,105.7523076923077
849540.31,6351626.835000001,105.685
849534.69,6351625.8149999995,105.44
849556.8014285715,6351648.390000001,105.75571428571429
849542.9866666667,6351626.44,105.67666666666666
849554.4266666666,6351628.196666666,105.67500000000001
849552.6271428572,6351626.287142857,105.60428571428574
849555.2125000001,6351644.300000001,105.69749999999999
849557.0866666668,6351625.321666666,105.65166666666666
849523.4,6351649.213333334,105.46
849555.13,6351639.4350000005,105.655
849564.6833333331,6351637.342500001,105.72125
849562.2783333333,6351635.701666667,105.64500000000002
849535.4499999998,6351641.785,105.50166666666667
849545.8280000001,6351637.210000001,105.672
849515.41,6351641.84,105.41
849522.81625,6351640.0200000005,105.53375
849557.6279999999,6351629.752000001,105.822
849562.562857143,6351628.664285714,105.72857142857143
849518.2350000001,6351638.8149999995,105.535
849557.9316666666,6351627.366666666,105.67166666666668
849549.606,6351627.084000001,105.72999999999999
849530.8275,6351631.4225,105.58749999999999
849514.6116666667,6351635.0825000005,105.32666666666667
849517.4475,6351634.325,105.3075
849546.8975000001,6351625.3925,105.4625
849519.8033333333,6351631.489999999,105.44333333333334
849510.5483333333,6351631.335000001,105.37333333333333
849515.1000000001,6351630.183333334,105.39500000000002
849517.4233333333,6351627.62,105.40666666666668
849520.9112500001,6351626.567500001,105.3975
849509.4879999999,6351626.958,105.43599999999999
849507.274,6351625.197999999,105.33
849573.6250000001,6351660.945,106.06500000000001
849574.102,6351653.736,106.01399999999998
849564.259090909,6351651.270909091,105.93000000000002
849589.6980000001,6351657.404,106.124
849602.7942857144,6351654.781428574,106.73714285714287
849592.4325,6351656.695,106.01
849577.1325000001,6351652.8825,106.16
849587.6000000001,6351657.9399999995,106.22
849574.1786666666,6351649.058666667,105.97999999999999
849566.5372222221,6351646.23388889,105.80944444444442
849572.334,6351647.176000001,105.73999999999998
849577.564,6351648.242000001,105.99000000000001
849569.775,6351656.925000001,106.12
849574.6033333334,6351655.696666666,106.01666666666665
849581.358,6351647.268,105.864
849563.5675,6351642.3549999995,105.78999999999999
849579.8640000001,6351645.393999999,105.896
849572.8422222222,6351642.414444444,105.78222222222223
849566.9940000002,6351641.296,105.928
849582.6499999999,6351644.6899999995,106.06
849565.7415000001,6351639.517000002,105.75550000000001
849600.166,6351645.367999999,106.03999999999999
849569.152,6351640.934,105.69200000000001
849579.62,6351643.206666667,105.98
849574.0833333334,6351651.386666667,105.89
849591.44,6351645.099333333,105.99466666666667
849576.01,6351641.671250001,105.86500000000001
849587.155,6351643.646,105.94099999999999
849582.382,6351642.542,105.917
849597.8966666666,6351643.703333333,105.95666666666666
849578.7350000001,6351641.029999999,105.69
849571.14375,6351638.09625,105.69500000000001
849586.9463636364,6351641.499090909,105.9890909090909
849595.2685714287,6351641.95,105.85714285714286
849598.8929999999,6351641.11,105.96100000000001
849601.5577777778,6351640.521111111,105.99111111111111
849584.1966666667,6351639.953333333,105.67333333333333
849584.3866666667,6351644.253333333,105.98
849576.1575,6351637.2700000005,105.7925
849571.335,6351636.02,105.715
849563.7150000001,6351649.0975,105.965
849587.91,6351638.9937499985,105.84125000000002
849583.1855555556,6351637.823333334,105.78000000000002
849573.0883333334,6351635.566666667,105.87666666666667
849565.5824000001,6351632.598800003,105.71800000000002
849590.6699999999,6351640.605,105.94
849592.365,6351640.165,105.935
849595.4315384615,6351639.586923077,105.8276923076923
849600.996,6351638.216,105.898
849576.7115384614,6351634.664615386,105.80692307692308
849586.106,6351637.002000001,105.838
849600.7250000001,6351635.95,105.75
849588.676,6351636.54,105.80999999999999
849580.1653333335,6351633.892,105.85600000000001
849575.4209090908,6351632.571818181,105.80181818181819
849572.1333333333,6351631.166666667,105.58
849580.1000000001,6351631.484999999,105.935
849577.0466666667,6351639.133333333,105.86166666666668
849592.7814285716,6351633.327142858,105.8957142857143
849577.7050000001,6351629.79,105.72
849596.96875,6351634.58375,105.80500000000002
849568.8266666668,6351627.13,105.81666666666666
849564.5492857144,6351625.870714285,105.69857142857141
849583.8640000001,6351635.540000001,105.704
849595.05,6351632.85,105.755
849590.31,6351631.453333333,105.7811111111111
849598.2250000001,6351631.92,105.735
849582.9774999999,6351633.115,105.9225
849584.935,6351632.735,105.595
849595.152,6351630.454000001,105.8
849576.6499999999,6351625.461764706,105.82176470588234
849597.7866666666,6351629.596666667,105.78333333333335
849593.2774999997,6351628.583124999,105.75687500000001
849597.02,6351627.726666667,105.73166666666667
849587.315,6351629.725,105.64000000000001
849591.1918181818,6351626.799090908,105.9
849577.1960000001,6351627.618,105.79
849587.3766666668,6351625.236666667,105.83
849563.3439999999,6351630.876,105.78800000000001
849569.7535714287,6351629.308571429,105.71214285714288
849521.8200000001,6351619.35,105.36
849520.0,6351617.57,105.28333333333335
849545.45,6351621.035,105.30250000000001
849531.7999999999,6351614.81,105.30333333333334
849547.75,6351618.085,105.4
849519.6675000001,6351610.7975,105.2975
849555.7000000001,6351618.71,105.43
849544.22,6351614.34,105.35000000000001
849502.6279999999,6351603.053000001,105.18300000000002
849541.88,6351612.516666667,105.45333333333333
849597.35,6351623.09,105.63
849537.8300000001,6351608.699999999,105.515
849519.3840000002,6351603.796000001,105.24000000000001
849584.84,6351618.79,105.47
849556.6233333334,6351611.36,105.68
849517.35,6351601.995000001,105.345
849530.5175,6351603.617500001,105.3575
849585.3900000001,6351616.165,105.655
849558.62,6351608.59,105.425
849569.6699999999,6351610.775,105.605
849589.8366666666,6351615.41,105.76333333333334
849564.3,6351607.485,105.445
849532.085,6351598.57,105.25
849566.1,6351620.9399999995,105.61500000000001
849557.34,6351622.82,105.43
849506.3300000001,6351590.695,105.21000000000001
849574.13,6351616.73,105.41
849520.5025,6351589.595,105.2125
849560.24,6351599.13,105.66
849541.645,6351594.04,105.355
849582.85,6351609.88,105.65
849562.47,6351598.74,105.42500000000001
849592.242,6351605.546000001,105.69800000000001
849559.8600000001,6351596.85,105.55000000000001
849535.6100000001,6351590.74,105.17500000000001
849557.5,6351595.135,105.30000000000001
849593.3300000001,6351603.375,105.815
849574.775,6351597.904999999,105.68
849561.56,6351593.87,105.25
849540.26,6351615.47,105.47
849563.365,6351593.75,105.535
849579.1900000001,6351597.11,105.56
849560.4400000001,6351592.01,105.45
849561.31,6351608.29,105.41
849583.775,6351596.165,105.655
849579.26,6351594.72,105.54
849531.685,6351582.5125,105.215
849580.59,6351594.43,105.58
849567.825,6351590.365,105.46000000000001
849548.8200000001,6351585.325,105.41
849576.48,6351597.86,105.4
849523.13,6351575.0625,105.31
849576.74,6351588.21,105.41
849543.61,6351605.255,105.325
849554.71,6351582.140000001,105.48
849506.4650000001,6351613.855,105.26
849551.0,6351580.455,105.33000000000001
849567.91,6351597.41,105.66
849561.25,6351582.34,105.42
849532.2450000001,6351605.585,105.22
849505.115,6351611.8475,105.25999999999999
849569.8033333333,6351594.536666666,105.53000000000002
849546.4650000001,6351600.0,105.49000000000001
