IDU,row_spacing,plant_spacing,rmse,match_rate,density_ratio,points_expected,points_found,unmatched_grid_pct,vines_missing_pct,vines_missing_pct_presence
263570000M0152,2.15,1.15,0.55,0.601,3.19,1669,686,58.9,31.64,68.66
830460000E0614,2.25,1.6,0.467,0.405,30.59,826,34,95.88,89.83,96.73
840780000B0662,2.1,1.15,0.394,0.705,2.34,3118,1399,55.13,36.34,57.34
071260000D0312,2.5,1.65,0.576,0.504,4.65,892,282,68.39,37.33,78.48
84145000AE0355,2.5,0.9,0.285,0.77,1.16,594,452,23.91,1.18,13.8
831000000D0833,2.05,0.7,0.47,0.564,1.88,4423,2485,43.82,0.45,46.89
840590000B0545,,,,,,,,,,
07279000AL0456,2.25,1.15,0.543,0.508,2.49,2173,1137,47.68,0.0,59.83
841460000B0657,1.95,1.2,0.509,0.528,3.32,282,104,63.12,30.14,69.86
26367000AI0126,2.0,1.25,0.533,0.621,5.4,3145,754,76.03,61.37,81.49
071690000B0724,1.9,1.2,0.475,0.403,4.21,2710,736,72.84,32.55,76.27
840490000A0341,1.95,1.25,0.491,0.658,7.49,854,133,84.43,76.35,86.65
830730000D0590,2.35,1.4,0.569,0.507,12.12,46795,5471,88.31,76.93,91.75
840960000C0429,1.95,1.2,0.484,0.708,11.34,1009,97,90.39,86.42,91.18
84149000AA0013,2.2,1.1,0.53,0.589,4.61,2850,781,72.6,53.44,78.32
840390000G0052,1.75,1.2,0.444,0.676,4.47,3257,767,76.45,65.15,77.65
830940000D0813,2.3,1.3,0.516,0.379,7.45,2064,351,82.99,55.14,86.58
841460000A0164,2.35,1.05,0.317,0.709,2.53,1301,501,61.49,45.66,60.42
841300000B0244,1.95,1.25,0.469,0.703,2.58,1065,466,56.24,37.75,61.22
840290000B0641,2.15,1.15,0.517,0.611,7.13,2260,375,83.41,72.83,85.97
073080000F0414,2.05,1.1,0.495,0.53,2.68,989,419,57.63,20.12,62.69
263770000B0356,1.8,1.25,0.446,0.467,14.92,1477,105,92.89,84.77,93.3
26054000AL0019,2.15,1.15,0.369,0.663,1.73,1503,923,38.59,7.39,42.05
263570000O0032,1.6,1.15,0.369,0.792,8.73,384,42,89.06,86.2,88.54
83148000BR0126,2.3,1.15,0.508,0.598,2.03,1262,746,40.89,1.11,50.71
840670000E0154,2.0,1.25,0.527,0.527,5.59,9314,2121,77.23,56.75,82.12
840490000E0190,2.0,1.25,0.53,0.703,8.88,2789,390,86.02,80.1,88.74
841360000A0935,2.05,1.15,0.464,0.492,6.77,792,127,83.96,67.42,85.23
26345000BD0201,2.1,1.15,0.397,0.779,2.82,3343,1177,64.79,54.8,64.58
840960000F0252,1.4,1.0,0.354,0.718,29.82,4354,107,97.54,96.58,96.65
84103000AH0318,2.5,1.0,0.357,0.904,4.05,965,207,78.55,76.27,75.34
840440000D1191,1.95,1.25,0.457,0.489,39.4,6422,186,97.1,94.08,97.46
84122000AT0189,2.45,1.0,0.478,0.688,16.68,2519,154,93.89,91.11,94.01
84069000AH0276,1.95,1.25,0.514,0.626,9.43,2394,300,87.47,79.99,89.39
840390000A0441,2.0,1.1,0.506,0.593,3.54,5663,1858,67.19,44.64,71.73
