IDU,row_spacing,plant_spacing,rmse,match_rate,density_ratio,points_expected,points_found,unmatched_grid_pct,vines_missing_pct,vines_missing_pct_presence
83116000AB0133,2.5,1.05,0.326,0.622,1.49,1009,611,39.44,2.58,32.9
840170000F1985,1.55,1.4,0.273,0.471,25.21,479,8,98.33,96.45,96.03
840940000C0146,2.65,1.35,0.548,0.485,2.4,274,94,65.69,29.2,58.39
263480000E0696,2.35,1.2,0.443,0.543,1.88,47,25,46.81,2.13,46.81
261800000C0353,2.25,1.4,0.543,0.52,1.9,1665,648,61.08,25.23,47.39
840940000B0319,2.4,1.4,0.536,0.526,2.24,2929,949,67.6,38.44,55.34
840940000F0504,1.15,0.95,0.267,0.621,98.05,7648,41,99.46,99.14,98.98
84118000AC0282,,,,,,,,,,
262850000D0395,2.35,1.35,0.519,0.517,1.95,821,325,60.41,23.39,48.72
072340000A0657,2.1,1.5,0.509,0.512,1.5,373,191,48.79,0.0,33.51
84028000AY0210,2.35,1.4,0.523,0.45,2.45,392,122,68.88,30.87,59.18
13050000BP0195,2.4,2.1,0.607,0.421,1.46,407,166,59.21,3.19,31.45
841260000E1502,2.6,1.4,0.503,0.376,2.81,2006,520,74.08,31.11,64.41
261880000C1128,,,,,,,,,,
830210000D0042,2.25,2.0,0.373,0.524,76.54,1990,11,99.45,98.94,98.69
840150000B0745,2.5,1.45,0.462,0.345,5.8,725,102,85.93,59.17,82.76
831000000D0434,2.0,2.0,0.602,0.511,1.16,4230,2136,49.5,1.23,13.74
840140000H0331,2.3,1.35,0.535,0.454,1.8,1805,816,54.79,0.5,44.49
841220000B0127,2.25,1.35,0.331,0.871,6.49,545,61,88.81,87.16,84.59
841380000M0068,2.1,1.4,0.539,0.522,1.57,4554,2182,52.09,8.28,36.14
841380000B0086,2.4,1.4,0.503,0.547,2.95,584,156,73.29,51.2,66.1
840300000A0043,2.4,1.65,0.515,0.38,2.62,1017,267,73.75,30.88,61.85
26317000AI0251,2.45,1.4,0.525,0.636,3.45,328,75,77.13,64.02,71.04
840120000B0154,2.3,1.25,0.511,0.495,1.76,822,383,53.41,5.96,43.31
830190000G0891,2.05,1.85,0.578,0.464,1.42,591,278,52.96,0.0,29.44
841330000G0677,2.45,1.35,0.516,0.437,2.71,1572,437,72.2,36.32,63.04
840830000B0007,2.45,1.4,0.55,0.465,1.85,939,383,59.21,12.35,45.9
263570000D0218,2.2,1.4,0.536,0.584,2.86,811,195,75.96,58.82,64.98
830910000D0054,2.15,2.15,0.618,0.441,1.43,1170,498,57.44,3.42,30.26
830790000A1010,1.95,1.7,0.549,0.465,1.4,4239,2004,52.72,0.0,28.69
070970000D0623,2.1,2.05,0.589,0.475,1.65,1417,569,59.84,15.46,39.38
830350000C0279,2.35,1.95,0.596,0.426,1.74,496,191,61.49,9.68,42.54
840680000E0015,2.35,1.15,0.414,0.734,3.8,1026,213,79.24,71.73,73.68
13001000MV0060,2.5,2.15,0.531,0.529,2.78,4169,1053,74.74,52.29,63.97
831400000D0205,2.35,1.85,0.448,0.648,6.76,554,57,89.71,84.12,85.2
84134000ZB0032,2.1,1.4,0.525,0.529,3.78,8279,1450,82.49,66.9,73.57
26345000AN0303,2.35,1.15,0.351,0.591,27.69,443,13,97.07,95.03,96.39
84118000AR0283,2.3,1.65,0.541,0.573,1.96,360,129,64.17,37.5,48.89
841360000A0521,2.15,1.15,0.365,0.426,5.56,150,23,84.67,64.0,82.0
263480000D0138,1.3,1.05,0.252,0.576,99.03,3565,19,99.47,99.07,98.99
830500000H1510,2.2,1.95,0.578,0.499,4.84,2803,333,88.12,76.17,79.34
83016000AE0248,2.15,2.0,0.595,0.494,3.92,3231,475,85.3,70.26,74.47
26377000ZB0085,2.2,1.35,0.516,0.499,3.62,4849,970,80.0,59.93,72.37
840960000D0423,2.0,1.4,0.414,0.804,2.17,974,328,66.32,58.11,53.9
830910000B0400,2.4,2.15,0.603,0.53,2.57,988,206,79.15,60.63,61.13
840440000C1231,2.3,1.65,0.507,0.593,1.85,2167,823,62.02,35.9,45.82
830320000B0462,2.45,2.0,0.545,0.328,4.71,2897,354,87.78,62.75,78.77
13050000BK0062,2.4,1.95,0.603,0.462,1.37,1348,588,56.38,5.49,26.93
830910000D0644,2.3,1.9,0.508,0.607,1.31,420,258,38.57,0.0,23.81
263800000G0113,2.15,1.95,0.564,0.59,1.56,248,115,53.63,21.37,35.89
84008000AO0189,2.25,1.4,0.477,0.533,4.59,565,96,83.01,68.14,78.23
830940000F0485,2.1,2.0,0.576,0.385,1.75,414,164,60.39,0.0,42.75
840980000A0369,1.5,1.25,0.388,0.524,47.55,9509,99,98.96,98.01,97.9
26038000ZA0079,2.0,1.3,0.532,0.516,1.66,6759,3468,48.69,0.64,39.62
07324000AW0029,2.0,1.2,0.52,0.575,1.72,231,127,45.02,4.33,41.99
071260000H0582,1.95,1.65,0.451,0.5,15.25,1144,46,95.98,91.96,93.44
841370000A0606,2.35,1.4,0.527,0.483,2.57,1947,575,70.47,38.83,61.02
07264000AO0413,2.45,1.4,0.536,0.463,1.76,2034,881,56.69,6.44,43.17
831400000F0322,2.45,1.95,0.571,0.393,3.45,662,129,80.51,50.45,71.0
831000000D0681,2.2,1.85,0.549,0.439,1.56,207,94,54.59,0.0,35.75
26345000AL0291,2.15,1.4,0.532,0.449,2.09,904,358,60.4,11.84,52.21
840390000F1225,2.45,1.65,0.598,0.548,1.86,603,230,61.86,30.35,46.27
840590000A0309,2.15,1.25,0.473,0.467,2.66,2734,825,69.82,35.44,62.44
841000000C0603,2.4,1.25,0.488,0.509,11.04,2783,173,93.78,87.78,90.95
841500000E0385,2.4,1.35,0.492,0.474,4.32,588,101,82.82,63.78,76.87
84036000BA0097,2.15,1.4,0.517,0.565,4.63,1172,183,84.39,72.35,78.41
830270000B0758,2.4,1.95,0.608,0.446,1.8,913,323,64.62,20.59,44.58
26380000ZA0030,2.4,2.15,0.606,0.43,1.55,2111,832,60.59,8.34,35.34
840870000K0224,2.35,1.4,0.488,0.541,3.25,1225,293,76.08,55.76,69.22
841510000A0351,2.3,1.35,0.486,0.518,4.7,893,132,85.22,71.44,78.72
84024000AD0138,2.2,1.35,0.485,0.482,9.31,4646,406,91.26,81.86,89.26
261880000C1096,,,,,,,,,,
83107000AX0191,1.95,1.6,0.544,0.477,1.49,1066,505,52.63,0.75,32.74
840450000C0088,2.3,1.15,0.39,0.51,31.76,1302,26,98.0,96.08,96.85
26345000AP0437,,,,,,,,,,
830320000D0086,2.25,1.85,0.516,0.447,6.59,725,68,90.62,79.03,84.83
840390000G0360,1.8,1.6,0.437,0.77,1.89,566,238,57.95,45.41,47.0
830570000C0719,2.5,2.05,0.516,0.563,2.77,1319,323,75.51,56.48,63.91
83061000AS0996,1.9,1.9,0.561,0.425,1.49,8729,3678,57.86,0.93,32.84
841370000A0372,2.4,1.4,0.521,0.452,2.88,1708,431,74.77,44.2,65.28
840870000K0761,2.3,1.65,0.511,0.677,12.03,770,42,94.55,91.95,91.69
830510000D0124,2.3,2.1,0.577,0.531,10.68,7051,365,94.82,90.26,90.64
263570000R0103,2.2,1.4,0.335,0.67,1.36,1434,903,37.03,6.0,26.22
26345000AZ0055,2.2,1.4,0.535,0.615,2.08,2777,962,65.36,43.64,51.89
840390000F1144,2.25,1.45,0.529,0.612,3.65,398,82,79.4,66.33,72.61
84031000AI0179,2.15,1.65,0.403,0.669,2.62,578,170,70.59,56.06,61.76
070150000C0643,1.75,1.5,0.471,0.467,1.56,1248,577,53.77,0.96,35.98
26054000AL0145,2.0,1.4,0.536,0.535,1.51,1035,539,47.92,2.71,33.91
262260000B0048,2.35,1.4,0.517,0.472,2.25,1634,556,65.97,27.85,55.57
84081000AY0108,2.05,1.4,0.521,0.628,3.34,692,140,79.77,67.77,70.09
84104000AD0001,2.1,1.4,0.509,0.608,6.32,2092,220,89.48,82.7,84.18
840490000E0557,2.1,1.65,0.557,0.568,2.56,1026,267,73.98,54.19,61.01
841480000E0906,2.25,1.6,0.531,0.641,8.57,1946,157,91.93,87.41,88.34
84137000AB0038,2.35,1.35,0.379,0.712,1.96,785,322,58.98,42.42,48.92
840190000D1133,2.2,1.4,0.49,0.715,4.6,2497,369,85.22,79.34,78.25
830270000E0258,2.05,2.1,0.589,0.451,1.52,1301,565,56.57,3.69,34.2
84104000AB0026,2.4,1.4,0.525,0.567,4.75,1369,202,85.24,74.0,78.96
07279000AX0054,2.05,1.65,0.538,0.521,2.53,3653,1014,72.24,46.76,60.42
070420000A0061,2.15,1.2,0.363,0.752,3.34,946,230,75.69,67.65,70.08
840390000D0317,1.95,1.5,0.389,0.719,1.26,319,228,28.53,0.63,20.38
840300000E1643,2.15,1.35,0.338,0.716,1.19,1320,948,28.18,0.0,16.29
07042000AL0081,2.2,1.4,0.354,0.675,5.5,764,114,85.08,77.88,81.81
84135000AE0048,2.0,1.4,0.539,0.578,2.56,2826,793,71.94,51.49,60.93
831080000H0313,2.2,1.8,0.515,0.449,22.87,3339,75,97.75,95.0,95.63
830310000C0434,2.5,2.0,0.603,0.469,1.69,5137,1793,65.1,25.62,40.84
840560000F0188,2.25,1.4,0.356,0.778,2.46,207,63,69.57,60.87,59.42
07324000AY0271,1.45,1.5,0.456,0.585,1.31,609,358,41.22,0.0,23.81
84046000AM0143,2.25,1.65,0.428,0.693,1.47,1013,549,45.8,21.82,31.89
84050000AR0267,2.05,1.4,0.419,0.446,33.43,1705,37,97.83,95.13,97.01
26345000AZ0023,2.45,1.2,0.467,0.493,12.81,2715,151,94.44,88.73,92.19
07324000AY0327,2.0,2.1,0.56,0.38,1.93,1198,449,62.52,1.25,48.25
072450000A0830,1.2,1.35,0.354,0.688,1.19,788,534,32.23,1.52,16.24
26377000AM0262,1.8,1.35,0.448,0.601,17.22,4098,163,96.02,93.39,94.19
830560000C0608,2.4,1.4,0.337,0.514,1.86,1381,684,50.47,3.69,46.13
84127000AX0023,,,,,,,,,,
261190000C0593,1.85,1.4,0.495,0.579,1.42,259,154,40.54,0.0,29.34
840370000D0254,2.35,1.65,0.549,0.454,1.64,750,316,57.87,7.2,39.07
073080000E0321,2.2,2.0,0.629,0.533,1.84,407,131,67.81,39.56,45.7
130850000N0100,2.2,2.0,0.586,0.407,2.87,8615,1749,79.7,50.1,65.13
84003000BV0161,2.4,1.35,0.513,0.467,1.98,1206,472,60.86,16.25,49.42
840970000E0126,2.05,1.4,0.518,0.568,3.56,1356,255,81.19,66.89,71.9
841380000M0103,2.35,1.4,0.496,0.361,2.35,8372,2732,67.37,9.48,57.37
841380000D0018,2.3,1.4,0.522,0.533,3.62,3292,630,80.86,64.09,72.36
841060000A1279,,,,,,,,,,
840710000A0570,2.25,1.3,0.504,0.561,1.89,149,69,53.69,17.45,46.98
840200000B0505,,,,,,,,,,
841330000D0906,2.45,1.15,0.501,0.497,3.19,619,158,74.47,48.63,68.66
840700000A0613,2.35,1.45,0.45,0.547,1.58,486,248,48.97,6.79,36.83
841170000B0232,2.15,1.3,0.316,0.721,1.18,166,124,25.3,0.0,15.06
841500000H0748,2.25,1.4,0.526,0.554,2.86,788,204,74.11,53.3,64.97
841460000B0271,2.3,1.05,0.291,0.669,1.21,1965,1390,29.26,0.0,17.35
84008000AN0104,2.15,1.45,0.537,0.557,2.86,1023,251,75.46,55.91,65.0
841150000A0354,2.25,1.65,0.554,0.622,1.64,903,412,54.37,26.69,39.09
84149000AA0037,2.05,1.35,0.461,0.493,21.38,1946,67,96.56,93.01,95.32
840220000A0115,2.3,1.4,0.403,0.752,2.42,3180,1008,68.3,57.86,58.62
841060000C0414,2.45,1.4,0.525,0.529,4.08,1498,272,81.84,65.69,75.5
84012000AB0381,2.2,0.95,0.374,0.565,16.98,1579,78,95.06,91.26,94.11
830920000D1701,2.0,1.95,0.602,0.489,1.3,1273,622,51.14,0.16,22.94
84008000AI0156,2.45,1.5,0.451,0.402,3.59,226,53,76.55,41.59,72.12
830640000C0034,2.0,1.75,0.585,0.512,1.33,580,287,50.52,3.45,24.66
830250000L0156,2.45,2.1,0.593,0.492,14.86,8931,249,97.21,94.33,93.27
840840000C1090,2.5,1.35,0.519,0.432,1.82,3314,1421,57.12,0.72,45.2
840160000L2131,2.2,1.4,0.375,0.721,2.43,136,49,63.97,50.0,58.82
840960000B1177,2.1,1.4,0.365,0.74,1.85,2552,1060,58.46,43.89,45.96
83097000AC0006,2.1,2.15,0.584,0.397,1.54,1062,396,62.71,6.03,35.22
841260000E0300,2.05,1.4,0.511,0.625,4.84,619,90,85.46,76.74,79.32
84069000BC0110,2.35,1.65,0.447,0.418,17.69,973,38,96.09,90.65,94.35
830040000B0157,2.05,1.55,0.311,0.333,39.24,667,11,98.35,95.05,97.45
830730000A0584,2.45,2.0,0.536,0.311,3.76,669,136,79.67,34.53,73.39
073080000E0096,2.4,1.8,0.454,0.508,1.64,589,300,49.07,0.0,38.88
263480000D0076,2.4,1.2,0.366,0.772,1.71,699,319,54.36,40.92,41.63
84069000AV0280,2.5,1.4,0.446,0.484,29.06,2005,45,97.76,95.36,96.56
26345000AN0379,2.25,1.4,0.516,0.589,5.61,998,132,86.77,77.56,82.16
841370000B0525,2.3,1.0,0.162,0.942,10.58,550,49,91.09,90.55,90.55
840370000E0229,1.9,1.45,0.396,0.678,9.09,3181,230,92.77,89.34,89.0
840390000G1985,2.05,1.45,0.498,0.569,2.58,199,62,68.84,45.23,61.31
840170000G1166,2.3,1.65,0.4,0.815,9.56,650,53,91.85,90.0,89.54
840200000B0071,2.1,1.15,0.45,0.635,14.83,1305,73,94.41,91.19,93.26
84024000AB0195,2.25,1.35,0.503,0.483,4.22,3295,603,81.7,62.12,76.3
26377000AS0118,2.15,1.35,0.484,0.434,7.76,3251,300,90.77,78.75,87.11
84149000BA0025,2.4,1.4,0.537,0.456,2.05,16895,5743,66.01,25.49,51.15
840390000F0959,2.05,1.45,0.474,0.646,2.84,505,144,71.49,55.84,64.75
07279000AX0087,2.25,1.6,0.538,0.589,2.35,992,299,69.86,48.79,57.36
07264000AX0095,2.15,1.4,0.47,0.495,4.86,666,108,83.78,67.27,79.43
840870000L0346,2.0,1.55,0.395,0.665,1.85,348,165,52.59,28.74,45.98
830920000D2540,2.05,1.95,0.604,0.476,1.4,898,409,54.45,4.34,28.4
13032000BV0138,2.45,2.15,0.63,0.49,2.17,980,227,76.84,52.76,53.88
84137000AB0169,2.15,1.35,0.525,0.56,2.76,739,209,71.72,49.53,63.73
84149000BC0018,1.75,1.1,0.297,0.269,29.97,1019,29,97.15,89.4,96.66
841080000B0696,2.4,1.55,0.492,0.558,3.07,169,48,71.6,49.11,67.46
83101000AT0259,2.0,1.75,0.568,0.458,1.47,1487,685,53.93,0.0,32.15
840560000A0148,2.1,1.4,0.468,0.683,1.45,466,254,45.49,20.17,31.12
841220000B0094,2.05,1.3,0.344,0.807,5.78,901,109,87.9,85.02,82.69
841490000A0014,2.0,1.35,0.499,0.627,16.8,3848,148,96.15,93.87,94.05
13079000AE0156,1.95,1.8,0.571,0.501,1.3,1413,701,50.39,0.92,22.93
841370000B0231,2.3,1.4,0.504,0.495,4.84,2162,301,86.08,71.88,79.32
263570000B0488,2.25,1.35,0.508,0.464,4.07,676,121,82.1,61.39,75.44
13079000AR0097,2.0,1.95,0.59,0.445,1.44,7256,3210,55.76,0.55,30.6
841360000A0750,2.4,1.35,0.544,0.475,1.86,1973,812,58.84,13.38,46.22
83016000AD0331,2.05,1.95,0.588,0.467,1.48,520,227,56.35,6.54,32.5
840960000E0501,2.2,1.35,0.524,0.495,2.53,1451,441,69.61,38.59,60.44
84050000CT0060,2.2,1.45,0.491,0.455,12.93,2314,130,94.38,87.64,92.26
840420000E0235,2.3,1.35,0.464,0.567,2.7,54,17,68.52,44.44,62.96
830570000F0074,2.35,2.0,0.602,0.567,2.0,2770,858,69.03,45.42,50.04
830350000B0864,2.35,1.9,0.527,0.455,3.91,371,66,82.21,60.92,74.39
841460000B0673,2.55,1.4,0.5,0.402,3.92,4528,830,81.67,54.42,74.47
830300000C0127,2.4,2.0,0.546,0.529,1.62,1598,812,49.19,3.94,38.36
841500000F0036,2.0,1.4,0.492,0.511,3.22,396,94,76.26,53.54,68.94
830940000D0402,2.3,1.5,0.365,0.618,1.38,865,544,37.11,0.0,27.4
83086000AH0160,2.5,2.1,0.529,0.477,2.89,78,21,73.08,43.59,65.38
84073000AK0065,1.85,1.35,0.464,0.567,17.73,2783,97,96.51,93.86,94.36
07345000ZB0141,1.95,1.45,0.505,0.446,1.86,530,240,54.72,0.0,46.23
840290000D0421,2.35,1.4,0.543,0.499,1.98,1369,514,62.45,24.69,49.53
840250000C0399,,,,,,,,,,
841060000B0380,2.25,1.4,0.357,0.75,1.65,1113,531,52.29,36.39,39.26
841340000C0537,2.35,1.4,0.528,0.57,7.62,2651,232,91.25,84.65,86.87
07264000AE0063,2.25,1.4,0.365,0.707,1.45,1682,984,41.5,17.3,30.86
841500000H0050,,,,,,,,,,
83104000AT0134,2.4,1.95,0.589,0.409,1.73,1384,501,63.8,11.56,42.2
840910000D0394,2.5,1.35,0.326,0.716,1.23,1787,1259,29.55,1.62,18.75
840720000F0725,2.4,1.65,0.56,0.413,1.78,3803,1382,63.66,11.91,43.75
841460000C0062,2.15,1.4,0.457,0.602,2.85,1269,336,73.52,56.03,64.85
261190000C1187,2.05,1.8,0.565,0.447,1.66,497,222,55.33,0.0,39.84
841380000F0339,2.0,1.4,0.542,0.566,2.53,1186,346,70.83,48.48,60.46
83098000AC0212,1.75,1.95,0.462,0.591,3.43,48,13,72.92,54.17,70.83
840720000C0516,1.9,1.3,0.503,0.458,1.75,1200,548,54.33,0.33,42.75
26054000AB0100,2.4,1.4,0.531,0.456,1.75,1182,530,55.16,1.61,42.81
840160000A0569,2.2,1.65,0.582,0.725,2.84,105,29,72.38,61.9,64.76
830730000A0306,1.35,1.55,0.278,0.532,56.08,2187,25,98.86,97.85,98.22
840440000A0275,2.4,1.65,0.528,0.378,2.55,406,124,69.46,19.21,60.84
13032000BE0235,2.5,2.0,0.522,0.594,1.47,1244,671,46.06,9.16,31.99
840300000E0582,2.25,1.65,0.562,0.522,1.75,938,361,61.51,26.33,42.75
13056000DM0144,2.5,1.75,0.445,0.675,1.28,350,239,31.71,0.0,21.71
261820000E0269,2.5,0.95,0.295,0.626,1.42,367,231,37.06,0.0,29.43
840720000E0570,2.5,1.6,0.535,0.47,2.54,676,178,73.67,43.93,60.65
840390000F0082,2.05,1.65,0.565,0.636,1.59,1522,633,58.41,34.63,37.19
831360000C0183,2.15,2.15,0.586,0.421,2.5,2133,496,76.75,44.77,60.06
84082000AM0273,2.05,1.65,0.572,0.499,1.61,661,290,56.13,12.1,37.82
831480000A0144,2.3,2.05,0.587,0.424,4.63,3409,372,89.09,74.27,78.41
841160000A1189,2.5,1.4,0.535,0.496,2.07,2465,879,64.34,28.11,51.81
840300000E1618,2.5,1.65,0.561,0.667,2.08,27,12,55.56,33.33,51.85
841330000F0790,2.55,1.35,0.526,0.444,2.06,2264,866,61.75,13.83,51.46
831430000B0301,2.4,1.95,0.528,0.774,3.39,458,96,79.04,72.93,70.52
830260000E0470,2.45,2.0,0.523,0.423,4.61,581,77,86.75,68.67,78.31
840450000C0245,2.35,1.15,0.255,0.455,58.17,698,10,98.57,96.85,98.28
840760000E0300,2.55,1.35,0.438,0.725,14.62,5133,242,95.29,93.49,93.16
130030000A0100,2.25,2.05,0.413,0.546,2.46,175,65,62.86,32.0,59.43
840870000L0654,1.75,1.65,0.436,0.756,1.53,716,382,46.65,29.47,34.78
840960000C0445,2.0,1.4,0.39,0.765,2.04,1902,718,62.25,50.63,51.05
841500000G0398,2.1,1.35,0.429,0.801,2.24,368,125,66.03,57.61,55.43
83101000AC0353,2.45,1.9,0.529,0.293,3.31,344,82,76.16,18.6,69.77
831250000D0810,2.0,1.6,0.544,0.454,1.57,2790,1262,54.77,0.36,36.24
83097000AR0137,2.0,1.85,0.584,0.459,1.33,3053,1434,53.03,0.0,24.6
841380000S0396,2.15,1.4,0.528,0.547,2.35,1239,389,68.6,42.62,57.47
26345000AN0597,2.35,1.4,0.418,0.687,1.31,3662,2258,38.34,10.27,23.95
841480000E0416,1.75,1.6,0.398,0.509,35.09,1649,27,98.36,96.79,97.15
841330000F1070,2.25,1.35,0.482,0.426,12.76,3930,199,94.94,88.12,92.16
831080000F0432,2.25,1.9,0.445,0.667,9.86,1085,76,93.0,89.49,89.86
263570000A0206,2.25,1.4,0.445,0.417,4.18,117,20,82.91,58.97,76.07
26345000AO0177,2.25,1.4,0.496,0.54,5.08,742,107,85.58,73.32,80.32
841360000A0961,,,,,,,,,,
830720000F1095,2.45,1.8,0.368,0.295,130.5,2349,13,99.45,98.13,99.23
840220000A0159,2.05,1.4,0.38,0.67,1.81,540,258,52.22,28.7,44.63
263570000C0002,2.0,1.2,0.504,0.612,2.58,893,287,67.86,47.48,61.25
07264000AX0156,2.15,1.4,0.459,0.88,3.98,394,73,81.47,78.93,74.87
841380000L0055,2.1,1.4,0.518,0.464,4.33,33995,5493,83.84,65.14,76.89
841220000A0426,2.3,1.35,0.536,0.499,1.55,1526,760,50.2,0.13,35.39
263570000E0238,2.25,1.35,0.537,0.491,2.03,1007,390,61.27,21.15,50.65
830180000C1591,2.25,1.95,0.518,0.351,7.44,1071,102,90.48,72.83,86.55
26250000ZH0050,2.2,2.0,0.619,0.524,2.11,3382,963,71.53,45.62,52.69
840440000D0955,2.4,1.45,0.56,0.452,1.81,351,155,55.84,2.28,44.73
84082000AK0103,2.5,1.65,0.573,0.501,2.12,1037,289,72.13,44.36,52.94
263570000R0005,2.05,1.0,0.285,0.35,43.89,395,7,98.23,94.94,97.72
840170000B0122,2.4,1.4,0.467,0.484,5.42,401,60,85.04,69.08,81.55
073120000C0159,2.3,2.05,0.493,0.402,2.16,2339,862,63.15,8.29,53.78
830500000K0136,2.15,1.8,0.527,0.592,4.59,436,71,83.72,72.48,78.21
830570000D0387,,,,,,,,,,
073430000E0682,2.1,1.65,0.42,0.603,1.64,1208,609,49.59,16.39,38.99
840870000M0223,2.0,1.65,0.45,0.73,1.83,4200,1652,60.67,46.12,45.36
841340000E0372,2.0,1.4,0.431,0.693,1.33,10933,6599,39.64,12.95,24.63
83136000AL0028,2.4,2.0,0.507,0.725,1.95,570,245,57.02,40.7,48.6
830870000B0039,2.3,2.1,0.611,0.417,1.88,23233,6552,71.8,32.36,46.84
840720000A0154,2.25,1.65,0.572,0.582,1.95,1431,463,67.65,44.44,48.71
841330000C0809,2.5,1.35,0.439,0.581,3.57,11205,2255,79.88,65.36,72.0
840390000F1108,2.45,1.65,0.503,0.464,5.62,1113,109,90.21,78.89,82.21
841300000A0280,2.45,1.25,0.523,0.46,3.34,754,180,76.13,48.14,70.03
26250000ZD0084,2.0,1.85,0.59,0.485,1.3,1725,804,53.39,3.88,23.3
831210000E0047,2.3,2.05,0.555,0.499,1.6,557,269,51.71,3.23,37.34
840170000C0495,2.2,1.45,0.546,0.492,2.0,1285,478,62.8,24.44,49.96
84149000AI0038,2.25,1.4,0.544,0.545,3.74,2108,387,81.64,66.32,73.29
840470000C0008,2.45,1.65,0.496,0.45,1.73,8417,3408,59.51,9.99,42.16
84102000AR0085,,,,,,,,,,
840370000C0361,1.85,1.65,0.476,0.72,1.87,284,121,57.39,40.85,46.48
841460000A0253,2.45,1.2,0.479,0.544,5.81,1122,154,86.27,74.78,82.8
840590000A0673,1.1,1.05,0.302,0.52,1.53,75,39,48.0,0.0,34.67
840440000D0978,2.3,1.4,0.469,0.56,4.51,320,51,84.06,71.56,77.81
07143000AL0488,2.15,2.15,0.61,0.504,1.58,646,242,62.54,25.7,36.53
263800000C1022,1.1,1.35,0.372,0.546,1.34,641,340,46.96,2.81,25.12
830320000B0632,2.35,2.1,0.6,0.411,2.0,1074,327,69.55,25.98,49.91
070700000B0804,2.05,1.7,0.399,0.422,17.11,804,27,96.64,92.04,94.15
84031000AW0060,2.0,1.65,0.515,0.509,7.57,6092,484,92.06,84.39,86.79
83129000AC0477,2.4,2.05,0.422,0.321,6.28,182,17,90.66,70.88,84.07
840290000F0362,2.2,1.35,0.542,0.524,1.49,516,260,49.61,3.88,32.95
83101000AR0281,2.4,2.0,0.485,0.549,2.14,1318,487,63.05,32.7,53.19
830390000E0355,2.25,2.05,0.569,0.347,9.26,19298,1213,93.71,81.87,89.21
830940000F0487,2.1,1.9,0.585,0.444,1.68,695,273,60.72,11.51,40.43
830320000E0343,2.2,1.9,0.448,0.5,7.7,339,19,94.4,88.79,87.02
840780000E1342,2.45,1.4,0.467,0.332,3.87,1037,207,80.04,39.92,74.16
83116000BX0165,2.5,1.4,0.477,0.601,1.38,1109,670,39.59,0.0,27.32
830040000B0864,,,,,,,,,,
830910000D0439,2.35,2.15,0.529,0.564,1.69,969,438,54.8,19.81,40.87
84082000AM0192,2.35,1.65,0.453,0.708,2.3,919,298,67.57,54.19,56.47
841330000D0445,2.5,1.35,0.353,0.621,1.92,1896,839,55.75,28.69,47.89
831000000E0136,2.0,1.7,0.57,0.499,1.27,2867,1457,49.18,0.0,21.52
830330000C1175,2.3,1.95,0.585,0.405,2.62,751,184,75.5,39.55,61.78
83096000AD0006,2.0,1.5,0.546,0.493,1.45,4891,2455,49.81,0.0,30.91
070090000B0863,2.3,1.3,0.352,0.686,1.22,435,313,28.05,0.0,17.7
840220000A0380,2.15,1.4,0.531,0.567,3.09,1262,270,78.61,62.28,67.59
84082000AS0352,2.5,1.6,0.408,0.689,2.58,152,51,66.45,51.32,61.18
841380000F0186,2.35,1.4,0.54,0.518,2.75,3951,985,75.07,51.89,63.6
26377000AV0098,2.4,1.35,0.498,0.524,1.95,418,183,56.22,16.51,48.8
830180000B0413,2.4,1.9,0.493,0.531,5.29,238,26,89.08,79.41,81.09
26220000AH0164,2.2,1.4,0.528,0.529,3.64,1731,348,79.9,61.99,72.56
070150000C0259,1.1,1.55,0.419,0.548,1.46,663,356,46.3,1.96,31.67
263220000B0643,2.45,1.4,0.533,0.49,3.7,1635,301,81.59,62.45,72.97
841060000A0601,2.5,1.35,0.482,0.457,7.19,1251,117,90.65,79.54,86.09
84119000AV0021,2.05,1.35,0.506,0.522,2.48,328,108,67.07,36.89,59.76
830910000E0816,2.0,1.95,0.445,0.34,22.85,617,16,97.41,92.38,95.62
26317000AI0296,2.15,1.4,0.556,0.443,2.32,355,121,65.92,23.1,56.9
840950000B1082,2.55,1.35,0.402,0.602,2.41,1296,415,67.98,46.84,58.56
83047000BL0024,1.5,1.75,0.48,0.458,1.63,715,331,53.71,0.0,38.6
840160000A0196,2.4,1.65,0.539,0.506,2.46,465,121,73.98,48.6,59.35
84137000AZ0063,2.35,1.4,0.533,0.6,4.47,948,162,82.91,71.52,77.64
830560000C0601,1.85,1.35,0.5,0.476,1.58,5556,2672,51.91,0.0,36.83
26367000AH0024,2.35,1.4,0.539,0.474,2.54,610,181,70.33,37.38,60.66
073170000B0543,2.05,1.9,0.577,0.459,1.36,1044,478,54.21,0.19,26.53
26220000AC0240,2.25,1.4,0.538,0.494,2.07,571,206,63.92,26.97,51.66
072640000A0432,2.4,1.35,0.33,0.375,4.21,59,12,79.66,45.76,76.27
84004000BE0076,2.25,1.25,0.5,0.502,2.21,3152,1221,61.26,22.84,54.79
840960000B0290,2.25,1.35,0.466,0.512,2.45,318,106,66.67,34.91,59.12
841500000E0669,2.15,1.2,0.518,0.53,1.68,840,435,48.21,2.26,40.48
26345000AE0037,2.1,1.35,0.514,0.495,1.65,625,315,49.6,0.0,39.36
840170000E1078,2.25,1.65,0.552,0.439,2.04,6580,2100,68.09,27.33,50.99
83097000AH0396,2.45,2.05,0.58,0.533,1.65,2504,996,60.22,25.4,39.3
